0	388	46180
0	36	119601
0	522	52342
6	1249	61047
8	11257	80277
10	20793	115781
10	1246	28202
12	1602	76831
12	429	41862
14	16775	38053
18	26835	81998
20	11564	29175
24	2863	77107
26	4711	105514
28	1256	90206
32	17360	71817
36	6603	38722
38	9027	30694
40	21	30502
42	24139	61315
44	9768	61017
46	7814	18074
48	3043	7315
48	6231	87932
50	436	7976
50	0	78199
50	70	86825
50	0	20194
50	3611	80082
50	436	18501
52	11648	82486
54	802	61163
62	770	86089
66	3113	8178
74	3832	7343
80	7897	105394
82	9887	120684
88	4352	113196
90	3058	65545
92	12940	78489
94	59	26986
96	48	53292
98	2896	11961
100	870	65209
100	6286	104089
102	3109	60024
104	8344	50652
106	328	20802
110	28936	124679
112	3797	105597
114	3650	89415
124	589	87809
128	324	104056
130	2627	68726
134	476	77445
137	2498	90961
139	48	36737
141	23543	118765
143	1603	105413
145	543	95358
147	921	17812
149	197	28679
149	11205	89166
151	1476	25380
153	3985	120262
155	3698	104504
157	460	113882
159	28412	18570
159	1357	71919
161	6601	15290
165	6970	115415
167	1341	64906
169	1783	14128
169	4523	114681
171	7666	29248
175	21754	95849
177	1012	46699
179	328	5447
181	5909	36736
189	7978	124337
191	5689	105720
193	7343	62443
195	7127	414
195	3799	64201
197	372	42273
197	24586	47942
199	29548	95600
201	3855	106402
203	1330	117991
205	1493	116949
207	760	30005
209	25714	33705
213	15206	38680
215	7358	18108
217	2969	115281
221	20668	87727
223	22672	20599
223	9566	32750
225	1049	38881
225	1528	36084
229	2310	49894
231	4634	10994
237	21222	115962
243	3041	37062
247	10735	722
249	3156	73270
252	4404	109607
254	328	42316
256	191	81988
260	4568	63775
266	1037	13571
268	2517	14862
272	328	11652
276	1114	121370
284	14357	89758
284	4124	1712
284	4388	21421
284	177	7746
284	21790	2921	7422	8319	22776	285	2486	21421
286	29754	287
292	12133	65929
294	17011	23991
298	308	4662
300	22988	108738
302	10601	53116
302	28707	120654
302	13193	56928
306	11804	26881
308	1700	20602
310	9323	105458
310	16593	50961
312	153	32700
312	308	14539
312	6013	18143
312	153	40083
312	436	12404
314	3264	70668
322	6099	43468
324	2204	30462
326	1896	67065
330	13503	120084
334	16402	16640
336	18017	34605
340	17594	17525
342	3014	61299
344	2073	1772
346	1379	109749
348	6240	10863
350	3154	82497
352	4052	95537
354	8178	104116
356	791	53218
358	18815	25607
358	1241	1968
362	6040	83224
364	9961	103719
372	25881	120858
374	9531	79433
382	9824	25091
384	6961	16784
386	17410	115633
388	9057	8730
390	5640	35235
392	20135	9394
398	142	28985
400	410	3746
402	7430	86055
408	17068	6077
412	875	2141
412	24641	24931
414	26362	24291
416	1004	36198
421	2037	55418
423	6972	28624
425	9785	79831
427	189	82672
431	22001	105653
433	4679	79458
437	1235	25605
442	12851	108231
444	3213	3919
446	311	704
448	47	77199
454	26128	18306
456	118	117066
458	18184	123844
461	61	67690
463	4489	11714
465	19707	68867
467	21383	66635
469	17284	121848
471	1081	28830
475	2556	66710
479	14219	98371
481	575	113760
483	409	8470
493	17549	12910
495	204	34681
499	9465	63688
501	155	93489
501	48	3756
501	4443	3756
501	48	14061
